Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-23 15:26:00+05:30,263.45,263.5,263.25,263.3,69049,0,0
2020-12-23 15:27:00+05:30,263.3,263.4,263.2,263.2,56665,0,0
2020-12-23 15:28:00+05:30,263.4,263.4,263.05,263.05,63505,0,0
2020-12-23 15:29:00+05:30,263.1,263.15,262.65,262.8,111054,0,0
2020-12-24 09:15:00+05:30,265.1,265.45,265.0,265.3,0,0,0
2020-12-24 09:16:00+05:30,265.3,265.65,264.7,264.85,455960,0,0
2020-12-24 09:17:00+05:30,264.95,265.1,264.7,264.95,254017,0,0
2020-12-24 09:18:00+05:30,264.9,265.25,264.8,265.25,189101,0,0
2020-12-24 09:19:00+05:30,265.3,265.6,265.15,265.45,162490,0,0
2020-12-24 09:20:00+05:30,265.4,266.2,265.4,266.15,271344,0,0
2020-12-24 09:21:00+05:30,266.1,266.2,265.8,266.05,231249,0,0
2020-12-24 09:22:00+05:30,266.1,266.3,266.0,266.15,195623,0,0
2020-12-24 09:23:00+05:30,266.15,266.45,266.15,266.35,126824,0,0
2020-12-24 09:24:00+05:30,266.4,266.5,266.2,266.4,191026,0,0
2020-12-24 09:25:00+05:30,266.4,266.5,266.1,266.3,122962,0,0
2020-12-24 09:26:00+05:30,266.25,266.5,266.25,266.45,148673,0,0
2020-12-24 09:27:00+05:30,266.4,266.5,266.2,266.4,99502,0,0
2020-12-24 09:28:00+05:30,266.35,266.4,266.0,266.2,154717,0,0
2020-12-24 09:29:00+05:30,266.15,266.55,266.05,266.3,111468,0,0
2020-12-24 09:30:00+05:30,266.3,266.65,266.3,266.55,98514,0,0
2020-12-24 09:31:00+05:30,266.6,266.65,266.45,266.6,115169,0,0
2020-12-24 09:32:00+05:30,266.55,266.65,266.55,266.6,57128,0,0
2020-12-24 09:33:00+05:30,266.55,266.55,266.2,266.2,105469,0,0
2020-12-24 09:34:00+05:30,266.25,266.3,266.05,266.05,107929,0,0
2020-12-24 09:35:00+05:30,266.05,266.25,265.9,266.05,165137,0,0
2020-12-24 09:36:00+05:30,266.05,266.1,265.8,265.8,116558,0,0
2020-12-24 09:37:00+05:30,265.85,265.9,265.7,265.7,75206,0,0
2020-12-24 09:38:00+05:30,265.65,265.75,265.5,265.65,92798,0,0
2020-12-24 09:39:00+05:30,265.65,266.2,265.65,266.05,101041,0,0
2020-12-24 09:40:00+05:30,266.05,266.35,266.05,266.35,90716,0,0
2020-12-24 09:41:00+05:30,266.3,266.35,266.15,266.2,60370,0,0
2020-12-24 09:42:00+05:30,266.2,266.45,266.15,266.45,62979,0,0
2020-12-24 09:43:00+05:30,266.3,266.4,266.25,266.35,48710,0,0
2020-12-24 09:44:00+05:30,266.35,266.4,266.15,266.3,48832,0,0
2020-12-24 09:45:00+05:30,266.3,266.35,265.9,266.0,52810,0,0
2020-12-24 09:46:00+05:30,266.0,266.1,265.85,265.85,38210,0,0
2020-12-24 09:47:00+05:30,265.8,266.0,265.6,265.7,100097,0,0
2020-12-24 09:48:00+05:30,265.7,266.0,265.5,265.8,80398,0,0
2020-12-24 09:49:00+05:30,265.8,265.95,265.7,265.85,32331,0,0
2020-12-24 09:50:00+05:30,265.8,265.9,265.75,265.8,33375,0,0
2020-12-24 09:51:00+05:30,265.8,266.0,265.8,265.95,39299,0,0
2020-12-24 09:52:00+05:30,265.95,266.3,265.9,266.2,209600,0,0
